"Are you self-employed?";"How many employees does your company or organization have?";"Is your employer primarily a tech company/organization?";"Is your primary role within your company related to tech/IT?";"Does your employer provide mental health benefits as part of healthcare coverage?";"Do you know the options for mental health care available under your employer-provided coverage?";"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?";"Does your employer offer resources to learn more about mental health concerns and options for seeking help?";"Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?";"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:";"Do you think that discussing a mental health disorder with your employer would have negative consequences?";"Do you think that discussing a physical health issue with your employer would have negative consequences?";"Would you feel comfortable discussing a mental health disorder with your coworkers?";"Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?";"Do you feel that your employer takes mental health as seriously as physical health?";"Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?";"Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?";"Do you know local or online resources to seek help for a mental health disorder?";"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?";"Do you believe your productivity is ever affected by a mental health issue?";"Do you have previous employers?";"Have your previous employers provided mental health benefits?";"Were you aware of the options for mental health care provided by your previous employers?";"Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?";"Did your previous employers provide resources to learn more about mental health issues and how to seek help?";"Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?";"Do you think that discussing a mental health disorder with previous employers would have negative consequences?";"Do you think that discussing a physical health issue with previous employers would have negative consequences?";"Would you have been willing to discuss a mental health issue with your previous co-workers?";"Would you have been willing to discuss a mental health issue with your direct supervisor(s)?";"Did you feel that your previous employers took mental health as seriously as physical health?";"Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?";"Would you be willing to bring up a physical health issue with a potential employer in an interview?";"Would you bring up a mental health issue with a potential employer in an interview?";"Do you feel that being identified as a person with a mental health issue would hurt your career?";"Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?";"Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?";"Do you have a family history of mental illness?";"Have you had a mental health disorder in the past?";"Do you currently have a mental health disorder?";"What is your age?";"What is your gender?";"What country do you live in?";"What country do you work in?";"Do you work remotely?"
0;"26-100";1;NA;"Not eligible for coverage / N/A";"N/A";"No";"No";"I don't know";"Very easy";"No";"No";"Maybe";"Yes";"I don't know";"No";NA;"";"";"";1;"No, none did";"N/A (not currently aware)";"I don't know";"None did";"I don't know";"Some of them";"None of them";"Some of my previous employers";"Some of my previous employers";"I don't know";"None of them";"Maybe";"Maybe";"Maybe";"No, I don't think they would";"No";"No";"Yes";"No";39;"Male";"United Kingdom";"United Kingdom";"Sometimes"
0;"6-25";1;NA;"No";"Yes";"Yes";"Yes";"Yes";"Somewhat easy";"No";"No";"Maybe";"Yes";"Yes";"No";NA;"";"";"";1;"Yes, they all did";"I was aware of some";"None did";"Some did";"Yes, always";"None of them";"None of them";"No, at none of my previous employers";"Some of my previous employers";"Some did";"None of them";"Maybe";"No";"No, I don't think it would";"No, I don't think they would";"No";"Yes";"Yes";"Yes";29;"Male";"United States of America";"United States of America";"Never"
0;"6-25";1;NA;"No";"N/A";"No";"No";"I don't know";"Neither easy nor difficult";"Maybe";"No";"Maybe";"Maybe";"I don't know";"No";NA;"";"";"";1;"No, none did";"N/A (not currently aware)";"None did";"Some did";"I don't know";"I don't know";"Some of them";"Some of my previous employers";"I don't know";"I don't know";"Some of them";"Yes";"Yes";"Maybe";"Maybe";"Maybe/Not sure";"No";"Maybe";"No";38;"Male";"United Kingdom";"United Kingdom";"Always"
1;"";NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";1;"Yes, I know several";"Sometimes, if it comes up";"Yes";1;"Some did";"N/A (not currently aware)";"None did";"None did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"I don't know";"Some of them";"Yes";"Maybe";"Yes, I think it would";"Maybe";"No";"No";"Yes";"Yes";43;"Male";"United Kingdom";"United Kingdom";"Sometimes"
0;"6-25";0;1;"Yes";"Yes";"No";"No";"No";"Neither easy nor difficult";"Yes";"Maybe";"Maybe";"No";"No";"No";NA;"";"";"";1;"I don't know";"N/A (not currently aware)";"Some did";"None did";"I don't know";"Some of them";"Some of them";"No, at none of my previous employers";"Some of my previous employers";"Some did";"Some of them";"Maybe";"No";"Yes, I think it would";"Maybe";"Yes, I experienced";"Yes";"Yes";"Yes";43;"Female";"United States of America";"United States of America";"Sometimes"
0;"More than 1000";1;NA;"Yes";"I am not sure";"No";"Yes";"Yes";"Somewhat easy";"Yes";"Yes";"Maybe";"Yes";"No";"Yes";NA;"";"";"";1;"No, none did";"Yes, I was aware of all of them";"None did";"None did";"I don't know";"Yes, all of them";"Some of them";"No, at none of my previous employers";"No, at none of my previous employers";"None did";"Some of them";"Yes";"Maybe";"Yes, I think it would";"Maybe";"Yes, I experienced";"No";"No";"Yes";42;"Male";"United Kingdom";"United Kingdom";"Sometimes"
0;"26-100";1;NA;"I don't know";"No";"No";"No";"I don't know";"Somewhat easy";"No";"No";"Maybe";"Yes";"Yes";"No";NA;"";"";"";1;"Some did";"I was aware of some";"None did";"Some did";"I don't know";"None of them";"None of them";"Some of my previous employers";"Yes, at all of my previous employers";"Some did";"None of them";"Yes";"Yes";"Yes, I think it would";"No, I don't think they would";"No";"No";"No";"No";30;"Male";"United States of America";"United States of America";"Sometimes"
0;"More than 1000";1;NA;"Yes";"Yes";"No";"Yes";"Yes";"Very easy";"No";"No";"Maybe";"Yes";"I don't know";"No";NA;"";"";"";1;"Some did";"I was aware of some";"Some did";"Some did";"Sometimes";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"Some did";"Some of them";"No";"No";"Maybe";"Maybe";"Yes, I observed";"Yes";"Yes";"Yes";37;"Female";"United States of America";"United States of America";"Always"
0;"26-100";0;1;"I don't know";"No";"No";"No";"I don't know";"Very difficult";"Yes";"Yes";"Yes";"Maybe";"No";"No";NA;"";"";"";1;"I don't know";"N/A (not currently aware)";"Some did";"None did";"I don't know";"Yes, all of them";"Yes, all of them";"No, at none of my previous employers";"No, at none of my previous employers";"None did";"None of them";"Maybe";"Maybe";"Maybe";"Yes, they do";"Yes, I observed";"Yes";"Yes";"Yes";44;"Female";"United States of America";"United States of America";"Sometimes"
1;"";NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";1;"I know some";"No, because it doesn't matter";"Yes";1;"Some did";"I was aware of some";"None did";"None did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"I don't know";"None of them";"Yes";"Maybe";"Maybe";"No, I don't think they would";"No";"Yes";"Yes";"Yes";30;"Male";"United States of America";"United States of America";"Always"
