Тип отверстия	Метод соединения	Форма барабана	Разрушающий крутящий момент (Дж)
круглое	паз	гладкий	257,61
круглое	паз	гладкий	257,61
круглое	паз	гладкий	257,61
круглое	паз	гладкий	271,16
круглое	паз	гладкий	271,16
круглое	паз	гладкий	271,16
круглое	паз	гладкий	271,16
круглое	паз	гладкий	271,16
круглое	паз	гофрированный	135,58
круглое	паз	гофрированный	135,58
круглое	паз	гофрированный	135,58
круглое	паз	гофрированный	138,29
круглое	паз	гофрированный	142,36
круглое	паз	гофрированный	149,14
круглое	паз	гофрированный	149,14
круглое	паз	гофрированный	150,50
круглое	резьба	гладкий	216,93
круглое	резьба	гладкий	216,93
круглое	резьба	гладкий	216,93
круглое	резьба	гладкий	230,49
круглое	резьба	гладкий	230,49
круглое	резьба	гладкий	230,49
круглое	резьба	гладкий	230,49
круглое	резьба	гладкий	230,49
круглое	резьба	гофрированный	59,66
круглое	резьба	гофрированный	67,79
круглое	резьба	гофрированный	67,79
круглое	резьба	гофрированный	67,79
круглое	резьба	гофрированный	67,79
круглое	резьба	гофрированный	69,15
круглое	резьба	гофрированный	70,50
круглое	резьба	гофрированный	74,57
шестиугольное	паз	гладкий	221,00
шестиугольное	паз	гладкий	223,71
шестиугольное	паз	гладкий	230,49
шестиугольное	паз	гладкий	237,27
шестиугольное	паз	гладкий	244,05
шестиугольное	паз	гладкий	246,76
шестиугольное	паз	гладкий	250,83
шестиугольное	паз	гладкий	250,83
шестиугольное	паз	гофрированный	65,08
шестиугольное	паз	гофрированный	69,15
шестиугольное	паз	гофрированный	70,50
шестиугольное	паз	гофрированный	71,86
шестиугольное	паз	гофрированный	73,21
шестиугольное	паз	гофрированный	74,57
шестиугольное	паз	гофрированный	74,57
шестиугольное	паз	гофрированный	78,64
шестиугольное	резьба	гладкий	202,02
шестиугольное	резьба	гладкий	203,37
шестиугольное	резьба	гладкий	203,37
шестиугольное	резьба	гладкий	203,37
шестиугольное	резьба	гладкий	204,73
шестиугольное	резьба	гладкий	204,73
шестиугольное	резьба	гладкий	216,93
шестиугольное	резьба	гладкий	227,78
шестиугольное	резьба	гофрированный	50,17
шестиугольное	резьба	гофрированный	54,23
шестиугольное	резьба	гофрированный	54,23
шестиугольное	резьба	гофрированный	55,59
шестиугольное	резьба	гофрированный	61,01
шестиугольное	резьба	гофрированный	67,79
шестиугольное	резьба	гофрированный	67,79
шестиугольное	резьба	гофрированный	67,79
