Номер	Вид	Масса	Длина1	Длина2	Длина3	Высота	Толщина
1	1	242,0	23,2	25,4	30,0	11,5	4
2	1	290,0	24,0	26,3	31,2	12,5	4,3
3	1	340,0	23,9	26,5	31,1	12,4	4,7
4	1	363,0	26,3	29,0	33,5	12,7	4,5
5	1	430,0	26,5	29,0	34,0	12,4	5,1
6	1	450,0	26,8	29,7	34,7	13,6	4,9
7	1	500,0	26,8	29,7	34,5	14,2	5,3
8	1	390,0	27,6	30,0	35,0	12,7	4,7
9	1	450,0	27,6	30,0	35,1	14	4,8
10	1	500,0	28,5	30,7	36,2	14,2	5
11	1	475,0	28,4	31,0	36,2	14,3	5,1
12	1	500,0	28,7	31,0	36,2	14,4	4,8
13	1	500,0	29,1	31,5	36,4	13,8	4,4
14	1	NA	29,5	32,0	37,3	13,9	5,1
15	1	600,0	29,4	32,0	37,2	15	5,2
16	1	600,0	29,4	32,0	37,2	15,4	5,6
17	1	700,0	30,4	33,0	38,3	14,9	5,3
18	1	700,0	30,4	33,0	38,5	14,9	5,2
19	1	610,0	30,9	33,5	38,6	15,6	5,1
20	1	650,0	31,0	33,5	38,7	14,5	5,7
21	1	575,0	31,3	34,0	39,5	15,1	5,6
22	1	685,0	31,4	34,0	39,2	16	5,4
23	1	620,0	31,5	34,5	39,7	15,5	5,3
24	1	680,0	31,8	35,0	40,6	15,5	6,1
25	1	700,0	31,9	35,0	40,5	16,2	5,6
26	1	725,0	31,8	35,0	40,9	16,4	6,1
27	1	720,0	32,0	35,0	40,6	16,4	6,1
28	1	714,0	32,7	36,0	41,5	16,5	5,9
29	1	850,0	32,8	36,0	41,6	16,9	6,2
30	1	1000,0	33,5	37,0	42,6	19	6,6
31	1	920,0	35,0	38,5	44,1	18	6,3
32	1	955,0	35,0	38,5	44,0	18,1	6,3
33	1	925,0	36,2	39,5	45,3	18,8	6,7
34	1	975,0	37,4	41,0	45,9	18,6	6,7
35	1	950,0	38,0	41,0	46,5	17,6	6,4
36	2	270,0	23,6	26,0	28,7	8,4	4,2
37	2	270,0	24,1	26,5	29,3	8,1	4,2
38	2	306,0	25,6	28,0	30,8	8,8	4,7
39	2	540,0	28,5	31,0	34,0	10,7	6,6
40	2	800,0	33,7	36,4	39,6	11,8	6,6
41	2	1000,0	37,3	40,0	43,5	12,4	6,5
42	3	40,0	12,9	14,1	16,2	4,1	2,3
43	3	69,0	16,5	18,2	20,3	5,3	2,8
44	3	78,0	17,5	18,8	21,2	5,6	2,9
45	3	87,0	18,2	19,8	22,2	5,6	3,2
46	3	120,0	18,6	20,0	22,2	6,2	3,6
47	3	0,0	19,0	20,5	22,8	6,5	3,4
48	3	110,0	19,1	20,8	23,1	6,2	3,4
49	3	120,0	19,4	21,0	23,7	6,1	3,3
50	3	150,0	20,4	22,0	24,7	5,8	3,8
51	3	145,0	20,5	22,0	24,3	6,6	3,5
52	3	160,0	20,5	22,5	25,3	7	3,8
53	3	140,0	21,0	22,5	25,0	6,6	3,3
54	3	160,0	21,1	22,5	25,0	6,4	3,8
55	3	169,0	22,0	24,0	27,2	7,5	3,8
56	3	161,0	22,0	23,4	26,7	6,9	3,6
57	3	200,0	22,1	23,5	26,8	7,4	4,1
58	3	180,0	23,6	25,2	27,9	7,1	3,9
59	3	290,0	24,0	26,0	29,2	8,9	4,5
60	3	272,0	25,0	27,0	30,6	8,6	4,8
61	3	390,0	29,5	31,7	35,0	9,5	5,4
62	4	55,0	13,5	14,7	16,5	6,8	2,3
63	4	60,0	14,3	15,5	17,4	6,6	2,3
64	4	90,0	16,3	17,7	19,8	7,4	2,7
65	4	120,0	17,5	19,0	21,3	8,4	2,9
66	4	150,0	18,4	20,0	22,4	8,9	3,3
67	4	140,0	19,0	20,7	23,2	8,5	3,3
68	4	170,0	19,0	20,7	23,2	9,4	3,4
69	4	145,0	19,8	21,5	24,1	9,7	3,2
70	4	200,0	21,2	23,0	25,8	10,3	3,7
71	4	273,0	23,0	25,0	28,0	11,1	4,1
72	4	300,0	24,0	26,0	29,0	11,4	4,2
73	5	6,7	9,3	9,8	10,8	1,7	1
74	5	7,5	10,0	10,5	11,6	2	1,2
75	5	7,0	10,1	10,6	11,6	1,7	1,1
76	5	9,7	10,4	11,0	12,0	2,2	1,4
77	5	9,8	10,7	11,2	12,4	2,1	1,3
78	5	8,7	10,8	11,3	12,6	2	1,3
79	5	10,0	11,3	11,8	13,1	2,2	1,3
80	5	9,9	11,3	11,8	13,1	2,2	1,2
81	5	9,8	11,4	12,0	13,2	2,2	1,1
82	5	12,2	11,5	12,2	13,4	2,1	1,4
83	5	13,4	11,7	12,4	13,5	2,4	1,3
84	5	12,2	12,1	13,0	13,8	2,3	1,3
85	5	19,7	13,2	14,3	15,2	2,9	2,1
86	5	19,9	13,8	15,0	16,2	2,9	1,9
87	6	200,0	30,0	32,3	34,8	5,6	3,4
88	6	300,0	31,7	34,0	37,8	5,7	4,2
89	6	300,0	32,7	35,0	38,8	5,9	4,4
