Средняя дневная смертность, чел.	Температура, C	Загрязнённость воздуха, % от макс. допустимой
97.85	22.43	72.72
104.64	19.55	49.60
94.36	17.19	55.68
98.05	22.49	55.16
95.85	23.47	66.02
95.98	19.93	44.01
88.63	23.44	47.83
90.85	23.82	43.60
92.06	17.87	24.99
88.75	19.49	40.41
94.60	25.72	51.93
92.86	20.04	32.26
98.02	30.39	73.65
87.64	20.79	30.15
97.40	24.01	41.10
83.24	25.16	41.53
86.60	21.09	29.46
90.69	26.31	51.13
82.86	28.30	41.37
99.06	32.11	59.49
81.00	26.77	48.25
93.18	30.88	51.73
86.86	27.64	44.21
89.35	30.44	59.59
87.13	30.81	60.82
88.39	31.23	55.01
85.38	28.56	50.59
83.96	30.06	55.05
84.95	27.87	48.00
86.81	27.39	55.37
85.25	26.11	64.44
94.72	33.64	75.00
90.96	29.17	61.46
87.73	24.69	50.04
92.58	23.32	49.90
87.02	20.91	51.14
92.68	27.25	77.88
97.95	20.87	46.71
94.19	25.58	73.86
93.95	21.45	76.87
92.29	16.08	39.85
93.48	19.86	71.52
97.41	20.28	63.87
96.98	12.69	48.81
106.60	15.88	68.82
112.41	16.74	64.39
118.59	10.70	81.76
107.90	22.53	73.55
111.82	18.01	67.99
102.78	25.69	75.37
100.63	15.09	65.23
106.54	27.16	69.91
105.39	14.79	44.34
104.99	16.94	40.80
102.72	19.73	55.09
104.67	17.53	38.44
103.30	23.82	53.54
98.46	18.32	42.46
100.78	28.17	53.22
94.43	22.57	44.41
92.16	18.53	31.29
92.13	17.41	31.10
95.04	18.94	35.92
86.88	18.25	37.73
95.29	24.65	35.00
85.39	24.04	36.25
92.63	18.42	22.75
88.72	20.90	32.26
87.09	22.67	34.77
83.92	29.76	52.73
89.01	25.88	36.59
78.14	25.18	30.04
92.84	30.71	49.91
88.65	30.16	42.60
86.66	28.64	35.89
82.04	31.43	41.76
105.15	35.19	47.03
94.19	31.21	36.62
83.99	28.17	31.40
88.22	32.11	46.76
85.59	27.57	30.60
99.21	37.19	60.58
87.77	28.10	33.30
90.39	26.52	50.08
82.25	25.17	46.99
102.92	37.71	73.07
86.84	20.66	50.28
97.22	24.61	71.60
94.97	17.93	50.09
104.86	25.89	82.85
80.53	18.82	58.36
102.47	20.10	62.63
97.80	18.88	71.27
95.28	17.75	50.85
105.64	14.25	65.13
106.44	17.93	74.74
110.65	12.88	39.59
114.41	17.51	69.67
115.98	17.75	84.23
112.72	21.06	84.96
115.99	14.94	67.68
104.14	18.47	58.62
109.30	17.11	57.02
111.47	21.91	64.58
102.67	20.40	63.25
101.34	19.42	56.92
94.97	24.27	46.59
90.48	20.32	49.20
93.70	20.34	48.55
