Концентрация озона, миллиардных доль	Солнечная радиация, Лэнгли	Температура, град. Цельсия	Скорость ветра, м/с
41	190	19,4	3,31
36	118	22,2	3,58
12	149	23,3	5,63
18	313	16,7	5,14
23	299	18,3	3,84
19	99	15,0	6,17
8	19	16,1	8,99
16	256	20,6	4,34
11	290	18,9	4,11
14	274	20,0	4,87
18	65	14,4	5,90
14	334	17,8	5,14
34	307	18,9	5,36
6	78	13,9	8,23
30	322	20,0	5,14
11	44	16,7	4,34
1	8	15,0	4,34
11	320	22,8	7,42
4	25	16,1	4,34
32	92	16,1	5,36
23	13	19,4	5,36
45	252	27,2	6,66
115	223	26,1	2,55
37	279	24,4	3,31
29	127	27,8	4,34
71	291	32,2	6,17
39	323	30,6	5,14
23	148	27,8	3,58
21	191	25,0	6,66
37	284	22,2	9,25
20	37	18,3	4,11
12	120	22,8	5,14
13	137	24,4	4,60
135	269	28,9	1,79
49	248	29,4	4,11
32	236	27,2	4,11
64	175	28,3	2,06
40	314	28,3	4,87
77	276	31,1	2,28
97	267	33,3	2,82
97	272	33,3	2,55
85	175	31,7	3,31
10	264	22,8	6,39
27	175	27,2	6,66
7	48	26,7	6,39
48	260	27,2	3,08
35	274	27,8	4,60
61	285	28,9	2,82
79	187	30,6	2,28
63	220	29,4	5,14
16	7	23,3	3,08
80	294	30,0	3,84
108	223	29,4	3,58
20	81	27,8	3,84
52	82	30,0	5,36
82	213	31,1	3,31
50	275	30,0	3,31
64	253	28,3	3,31
59	254	27,2	4,11
39	83	27,2	3,08
9	24	27,2	6,17
16	77	27,8	3,31
122	255	31,7	1,79
89	229	32,2	4,60
110	207	32,2	3,58
44	192	30,0	5,14
28	273	27,8	5,14
65	157	26,7	4,34
22	71	25,0	4,60
59	51	26,1	2,82
23	115	24,4	3,31
31	244	25,6	4,87
44	190	25,6	4,60
21	259	25,0	6,93
9	36	22,2	6,39
45	212	26,1	4,34
168	238	27,2	1,52
73	215	30,0	3,58
76	203	36,1	4,34
118	225	34,4	1,03
84	237	35,6	2,82
85	188	34,4	2,82
96	167	32,8	3,08
78	197	33,3	2,28
73	183	33,9	1,25
91	189	33,9	2,06
47	95	30,6	3,31
32	92	28,9	6,93
20	252	26,7	4,87
23	220	25,6	4,60
21	230	23,9	4,87
24	259	22,8	4,34
44	236	27,2	6,66
21	259	24,4	6,93
28	238	25,0	2,82
9	24	21,7	4,87
13	112	21,7	5,14
46	237	25,6	3,08
18	224	19,4	6,17
13	27	24,4	4,60
24	238	20,0	4,60
16	201	27,8	3,58
13	238	17,8	5,63
23	14	21,7	4,11
36	139	27,2	4,60
7	49	20,6	4,60
14	20	17,2	7,42
30	193	21,1	3,08
14	191	23,9	6,39
18	131	24,4	3,58
20	223	20,0	5,14
