    z  x   y
1   8  8  7.725000
2   8 16  3.475000
3   7 32  3.868750
4   8 61  1.949180
5  16  8  3.100000
6  16 16  2.912500
7  16 64  1.798437
8  32  8  3.187500
9  31 32  2.543750
10 64  6  2.700000
11 62 15  1.553333
12  0  2 19.450000
13  0  8 12.787500
14  0 16  6.500000
15  0 32  4.340625
16  0 63  2.179365
17  8  8  4.212500
18  8 16  6.293750
19  8 32  3.790625
20  8 63  2.428571
21 16  8  6.487500
22 16 16  2.518750
23 16 64  2.045313
24 32  7  3.257143
25 32 32  1.368750
26 63  8  1.387500
27 63 16  1.737500
28  0  2 15.100000
29  0  8  6.262500
30  0 16  2.456250
31  0 31  5.029032
32  0 64  3.087500
33  8  7  3.785714
34  8 16  7.456250
35  8 32  3.728125
36  8 63  2.285714
37 16  7  4.628571
38 16 15  4.446667
39 15 59  2.013559
40 32  8  4.025000
41 32 32  2.278125
42 62  8  2.075000
43 63 16  2.087500
44 62 63  1.063492
45  0  2 23.600000
46  0  7 12.342857
47  0 16  9.031250
48  0 32  5.103125
49  0 64  2.357813
