ћес€ц	—реднее число п€тен
01.1749	58.0
02.1749	62.6
03.1749	70.0
04.1749	55.7
05.1749	85.0
06.1749	83.5
07.1749	94.8
08.1749	66.3
09.1749	75.9
10.1749	75.5
11.1749	158.6
12.1749	85.2
01.1750	73.3
02.1750	75.9
03.1750	89.2
04.1750	88.3
05.1750	90.0
06.1750	100.0
07.1750	85.4
08.1750	103.0
09.1750	91.2
10.1750	65.7
11.1750	63.3
12.1750	75.4
01.1751	70.0
02.1751	43.5
03.1751	45.3
04.1751	56.4
05.1751	60.7
06.1751	50.7
07.1751	66.3
08.1751	59.8
09.1751	23.5
10.1751	23.2
11.1751	28.5
12.1751	44.0
01.1752	35.0
02.1752	50.0
03.1752	71.0
04.1752	59.3
05.1752	59.7
06.1752	39.6
07.1752	78.4
08.1752	29.3
09.1752	27.1
10.1752	46.6
11.1752	37.6
12.1752	40.0
01.1753	44.0
02.1753	32.0
03.1753	45.7
04.1753	38.0
05.1753	36.0
06.1753	31.7
07.1753	22.0
08.1753	39.0
09.1753	28.0
10.1753	25.0
11.1753	20.0
12.1753	6.7
01.1754	0.0
02.1754	3.0
03.1754	1.7
04.1754	13.7
05.1754	20.7
06.1754	26.7
07.1754	18.8
08.1754	12.3
09.1754	8.2
10.1754	24.1
11.1754	13.2
12.1754	4.2
01.1755	10.2
02.1755	11.2
03.1755	6.8
04.1755	6.5
05.1755	0.0
06.1755	0.0
07.1755	8.6
08.1755	3.2
09.1755	17.8
10.1755	23.7
11.1755	6.8
12.1755	20.0
01.1756	12.5
02.1756	7.1
03.1756	5.4
04.1756	9.4
05.1756	12.5
06.1756	12.9
07.1756	3.6
08.1756	6.4
09.1756	11.8
10.1756	14.3
11.1756	17.0
12.1756	9.4
01.1757	14.1
02.1757	21.2
03.1757	26.2
04.1757	30.0
05.1757	38.1
06.1757	12.8
07.1757	25.0
08.1757	51.3
09.1757	39.7
10.1757	32.5
11.1757	64.7
12.1757	33.5
01.1758	37.6
02.1758	52.0
03.1758	49.0
04.1758	72.3
05.1758	46.4
06.1758	45.0
07.1758	44.0
08.1758	38.7
09.1758	62.5
10.1758	37.7
11.1758	43.0
